Time[s], solidMass[kg], liquidMass[kg], dmdt[kg/s], deltaT[s], massErrRel[%]
0.2, 0, 0.00032, 0, 0.00623517, 0
0.4, 0, 0.00032, 0, 0.00625, 0
0.2, 1.33333e-06, 0.000319333, 0, 0.00414862, -100
0.4, 1.33333e-06, 0.000319333, 0, 0.00392157, -100
0.2, 1.33333e-06, 0.000319333, 0, 0.00394119, -100
0.4, 1.33333e-06, 0.000319333, 0, 0.00383632, -100
0.6, 1.33333e-06, 0.000319333, 4.85308e-13, 0.00384615, -0.00221296
0.8, 1.33333e-06, 0.000319333, 7.12523e-13, 0.00384615, -0.0113695
1, 1.33333e-06, 0.000319333, 8.33798e-13, 0.00384615, 0.00135683
1.2, 1.33333e-06, 0.000319333, 9.58213e-13, 0.00384615, 0.000875846
1.4, 1.33333e-06, 0.000319333, 1.13691e-12, 0.00392157, -0.000671242
